[epoch 1] train_loss: 1.852  val_accuracy: 0.275
[epoch 2] train_loss: 1.830  val_accuracy: 0.287
[epoch 3] train_loss: 1.767  val_accuracy: 0.369
[epoch 4] train_loss: 1.659  val_accuracy: 0.387
[epoch 5] train_loss: 1.751  val_accuracy: 0.330
[epoch 6] train_loss: 1.682  val_accuracy: 0.397
[epoch 7] train_loss: 1.613  val_accuracy: 0.426
[epoch 8] train_loss: 1.588  val_accuracy: 0.447
[epoch 9] train_loss: 1.559  val_accuracy: 0.464
[epoch 10] train_loss: 1.584  val_accuracy: 0.442
[epoch 11] train_loss: 1.543  val_accuracy: 0.477
[epoch 12] train_loss: 1.518  val_accuracy: 0.482
[epoch 13] train_loss: 1.498  val_accuracy: 0.496
[epoch 14] train_loss: 1.547  val_accuracy: 0.461
[epoch 15] train_loss: 1.514  val_accuracy: 0.492
[epoch 16] train_loss: 1.475  val_accuracy: 0.516
[epoch 17] train_loss: 1.452  val_accuracy: 0.531
[epoch 18] train_loss: 1.446  val_accuracy: 0.531
[epoch 19] train_loss: 1.448  val_accuracy: 0.541
[epoch 20] train_loss: 1.430  val_accuracy: 0.520
[epoch 21] train_loss: 1.410  val_accuracy: 0.558
[epoch 22] train_loss: 1.401  val_accuracy: 0.555
[epoch 23] train_loss: 1.391  val_accuracy: 0.549
[epoch 24] train_loss: 1.585  val_accuracy: 0.545
[epoch 25] train_loss: 1.396  val_accuracy: 0.556
[epoch 26] train_loss: 1.383  val_accuracy: 0.565
[epoch 27] train_loss: 1.364  val_accuracy: 0.574
[epoch 28] train_loss: 1.606  val_accuracy: 0.529
[epoch 29] train_loss: 1.408  val_accuracy: 0.560
[epoch 30] train_loss: 1.372  val_accuracy: 0.568
[epoch 31] train_loss: 1.359  val_accuracy: 0.555
[epoch 32] train_loss: 1.351  val_accuracy: 0.573
[epoch 33] train_loss: 1.344  val_accuracy: 0.583
[epoch 34] train_loss: 1.338  val_accuracy: 0.589
[epoch 35] train_loss: 1.334  val_accuracy: 0.580
[epoch 36] train_loss: 1.317  val_accuracy: 0.599
[epoch 37] train_loss: 1.329  val_accuracy: 0.580
[epoch 38] train_loss: 1.310  val_accuracy: 0.593
[epoch 39] train_loss: 1.307  val_accuracy: 0.601
[epoch 40] train_loss: 1.292  val_accuracy: 0.597
[epoch 41] train_loss: 1.293  val_accuracy: 0.602
[epoch 42] train_loss: 1.275  val_accuracy: 0.599
[epoch 43] train_loss: 1.557  val_accuracy: 0.573
[epoch 44] train_loss: 1.308  val_accuracy: 0.567
[epoch 45] train_loss: 1.278  val_accuracy: 0.588
[epoch 46] train_loss: 1.285  val_accuracy: 0.602
[epoch 47] train_loss: 1.274  val_accuracy: 0.609
[epoch 48] train_loss: 1.270  val_accuracy: 0.601
[epoch 49] train_loss: 1.261  val_accuracy: 0.605
[epoch 50] train_loss: 1.259  val_accuracy: 0.607
[epoch 51] train_loss: 1.252  val_accuracy: 0.605
[epoch 52] train_loss: 1.248  val_accuracy: 0.612
[epoch 53] train_loss: 1.236  val_accuracy: 0.620
[epoch 54] train_loss: 1.296  val_accuracy: 0.598
[epoch 55] train_loss: 1.246  val_accuracy: 0.613
[epoch 56] train_loss: 1.234  val_accuracy: 0.618
[epoch 57] train_loss: 1.230  val_accuracy: 0.618
[epoch 58] train_loss: 1.222  val_accuracy: 0.610
[epoch 59] train_loss: 1.225  val_accuracy: 0.622
[epoch 60] train_loss: 1.208  val_accuracy: 0.628
[epoch 61] train_loss: 1.208  val_accuracy: 0.612
[epoch 62] train_loss: 1.209  val_accuracy: 0.625
[epoch 63] train_loss: 1.208  val_accuracy: 0.616
[epoch 64] train_loss: 1.194  val_accuracy: 0.617
[epoch 65] train_loss: 1.361  val_accuracy: 0.612
[epoch 66] train_loss: 1.217  val_accuracy: 0.634
[epoch 67] train_loss: 1.205  val_accuracy: 0.616
[epoch 68] train_loss: 1.202  val_accuracy: 0.622
[epoch 69] train_loss: 1.195  val_accuracy: 0.620
[epoch 70] train_loss: 1.194  val_accuracy: 0.629
[epoch 71] train_loss: 1.191  val_accuracy: 0.634
[epoch 72] train_loss: 1.179  val_accuracy: 0.629
[epoch 73] train_loss: 1.186  val_accuracy: 0.624
[epoch 74] train_loss: 1.205  val_accuracy: 0.575
[epoch 75] train_loss: 1.212  val_accuracy: 0.613
[epoch 76] train_loss: 1.189  val_accuracy: 0.635
[epoch 77] train_loss: 1.174  val_accuracy: 0.627
[epoch 78] train_loss: 1.177  val_accuracy: 0.639
[epoch 79] train_loss: 1.165  val_accuracy: 0.635
[epoch 80] train_loss: 1.163  val_accuracy: 0.628
[epoch 81] train_loss: 1.165  val_accuracy: 0.638
[epoch 82] train_loss: 1.176  val_accuracy: 0.636
[epoch 83] train_loss: 1.162  val_accuracy: 0.635
[epoch 84] train_loss: 1.155  val_accuracy: 0.641
[epoch 85] train_loss: 1.148  val_accuracy: 0.647
[epoch 86] train_loss: 1.153  val_accuracy: 0.647
[epoch 87] train_loss: 1.146  val_accuracy: 0.633
[epoch 88] train_loss: 1.148  val_accuracy: 0.645
[epoch 89] train_loss: 1.167  val_accuracy: 0.645
[epoch 90] train_loss: 1.143  val_accuracy: 0.639
[epoch 91] train_loss: 1.139  val_accuracy: 0.647
[epoch 92] train_loss: 1.131  val_accuracy: 0.645
[epoch 93] train_loss: 1.142  val_accuracy: 0.643
[epoch 94] train_loss: 1.197  val_accuracy: 0.628
[epoch 95] train_loss: 1.148  val_accuracy: 0.641
[epoch 96] train_loss: 1.142  val_accuracy: 0.639
[epoch 97] train_loss: 1.135  val_accuracy: 0.651
[epoch 98] train_loss: 1.127  val_accuracy: 0.654
[epoch 99] train_loss: 1.127  val_accuracy: 0.640
[epoch 100] train_loss: 1.123  val_accuracy: 0.658
[epoch 101] train_loss: 1.124  val_accuracy: 0.650
[epoch 102] train_loss: 1.118  val_accuracy: 0.648
[epoch 103] train_loss: 1.151  val_accuracy: 0.524
[epoch 104] train_loss: 1.209  val_accuracy: 0.635
[epoch 105] train_loss: 1.142  val_accuracy: 0.656
[epoch 106] train_loss: 1.135  val_accuracy: 0.654
[epoch 107] train_loss: 1.129  val_accuracy: 0.649
[epoch 108] train_loss: 1.115  val_accuracy: 0.661
[epoch 109] train_loss: 1.116  val_accuracy: 0.660
[epoch 110] train_loss: 1.109  val_accuracy: 0.647
[epoch 111] train_loss: 1.114  val_accuracy: 0.652
[epoch 112] train_loss: 1.107  val_accuracy: 0.640
[epoch 113] train_loss: 1.101  val_accuracy: 0.655
[epoch 114] train_loss: 1.100  val_accuracy: 0.651
[epoch 115] train_loss: 1.106  val_accuracy: 0.646
[epoch 116] train_loss: 1.100  val_accuracy: 0.651
[epoch 117] train_loss: 1.136  val_accuracy: 0.647
[epoch 118] train_loss: 1.105  val_accuracy: 0.653
[epoch 119] train_loss: 1.095  val_accuracy: 0.653
[epoch 120] train_loss: 1.092  val_accuracy: 0.653
[epoch 121] train_loss: 1.096  val_accuracy: 0.647
[epoch 122] train_loss: 1.093  val_accuracy: 0.648
[epoch 123] train_loss: 1.094  val_accuracy: 0.653
[epoch 124] train_loss: 1.089  val_accuracy: 0.663
[epoch 125] train_loss: 1.091  val_accuracy: 0.661
[epoch 126] train_loss: 1.085  val_accuracy: 0.669
[epoch 127] train_loss: 1.081  val_accuracy: 0.666
[epoch 128] train_loss: 1.082  val_accuracy: 0.663
